tableName,columnName,description
DWA_SalesFact,uuid,Columna uuid en tabla DWA_SalesFact
DWA_DeliveriesFact,deliveryKey,Columna deliveryKey en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,orderID,Columna orderID en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,customerKey,Columna customerKey en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,employeeKey,Columna employeeKey en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,shipperID,Columna shipperID en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,shippedDateKey,Columna shippedDateKey en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,requiredDateKey,Columna requiredDateKey en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,deliveryDelayDays,Columna deliveryDelayDays en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,freight,Columna freight en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,isDelivered,Columna isDelivered en tabla DWA_DeliveriesFact
DWA_DeliveriesFact,uuid,Columna uuid en tabla DWA_DeliveriesFact
